Timestamp,Vote for your least favorite season!
8/4/2020 15:29:37,Season 7
8/4/2020 15:32:05,All Stars 5
8/4/2020 15:32:10,Season 7
8/4/2020 15:32:15,All Stars 5
8/4/2020 15:32:28,Season 8
8/4/2020 15:34:15,All Stars 5
8/4/2020 15:34:45,Season 10
8/4/2020 15:35:55,Season 2
8/4/2020 15:36:38,UK Season 1
8/4/2020 15:37:33,Season 7
8/4/2020 15:37:45,Season 8
8/4/2020 15:38:02,All Stars 5
8/4/2020 15:38:12,Season 4
8/4/2020 15:39:17,All Stars 5
8/4/2020 15:40:51,Season 3
8/4/2020 15:41:19,Season 7
8/4/2020 15:41:20,All Stars 3
8/4/2020 15:41:25,Thailand Season 2
8/4/2020 15:41:49,All Stars 5
8/4/2020 15:42:44,Season 7
8/4/2020 15:45:11,All Stars 3
8/4/2020 15:48:40,Season 4
8/4/2020 15:48:52,All Stars 3
8/4/2020 15:49:00,Season 7
8/4/2020 15:49:22,Season 6
8/4/2020 15:50:55,Season 7
8/4/2020 15:51:06,All Stars 5
8/4/2020 15:51:19,Season 9
8/4/2020 15:51:34,Thailand Season 1
8/4/2020 15:52:52,Season 4
8/4/2020 15:57:26,All Stars 3
8/4/2020 15:58:43,Season 4
8/4/2020 16:00:28,Thailand Season 2
8/4/2020 16:01:04,Season 3
8/4/2020 16:01:39,All Stars 5
8/4/2020 16:02:34,All Stars 5
8/4/2020 16:04:11,All Stars 3
8/4/2020 16:06:23,Thailand Season 1
8/4/2020 16:07:50,All Stars 3
8/4/2020 16:11:43,Season 2
8/4/2020 16:11:48,Season 8
8/4/2020 16:12:50,UK Season 1
8/4/2020 16:13:54,Season 10
8/4/2020 16:14:22,Season 4
8/4/2020 16:16:04,Season 8
8/4/2020 16:16:04,Season 7
8/4/2020 16:18:55,All Stars 5
8/4/2020 16:19:25,Season 10
8/4/2020 16:19:49,Season 7
8/4/2020 16:20:40,Thailand Season 1
8/4/2020 16:21:13,All Stars 5
8/4/2020 16:21:20,All Stars 3
8/4/2020 16:21:53,Season 7
8/4/2020 16:27:28,Season 2
8/4/2020 16:28:48,All Stars 3
8/4/2020 16:31:20,Season 8
