Season,Votes,Percentage
S1,30,18.072%
S2,7,4.217%
S3,2,1.205%
S4,9,5.422%
S5,0,0.0%
S6,2,1.205%
S7,23,13.855%
S8,12,7.229%
S9,3,1.807%
S10,7,4.217%
S12,7,4.217%
AS2,3,1.807%
AS3,17,10.241%
AS4,8,4.819%
AS5,16,9.639%
DRT1,11,6.627%
DRT2,5,3.012%
DRUK1,4,2.41%
