Season,Votes,Percentage
S2,5,5.0%
S3,4,4.0%
S4,17,17.0%
S5,0,0.0%
S6,0,0.0%
S8,18,18.0%
S9,9,9.0%
S12,3,3.0%
AS2,1,1.0%
AS4,13,13.0%
DRT1,23,23.0%
DRT2,5,5.0%
DRUK1,2,2.0%
