Season,Votes,Percentage
S2,10,8.264%
S3,5,4.132%
S4,12,9.917%
S5,1,0.826%
S6,4,3.306%
S8,19,15.702%
S9,5,4.132%
S10,20,16.529%
S12,3,2.479%
AS2,0,0.0%
AS4,14,11.57%
DRT1,18,14.876%
DRT2,8,6.612%
DRUK1,2,1.653%
