Season,Votes,Percentage
S1,13,5.556%
S2,4,1.709%
S3,19,8.12%
S4,2,0.855%
S5,4,1.709%
S6,35,14.957%
S7,16,6.838%
S8,6,2.564%
S9,11,4.701%
S12,0,0.0%
AS2,1,0.427%
AS3,30,12.821%
AS4,11,4.701%
AS5,50,21.368%
DRT1,14,5.983%
DRT2,11,4.701%
DRUK1,7,2.991%
