Season,Votes,Percentage
S2,32,15.238%
S3,8,3.81%
S4,28,13.333%
S5,1,0.476%
S6,6,2.857%
S9,12,5.714%
S12,8,3.81%
AS2,5,2.381%
AS4,61,29.048%
DRT2,42,20.0%
DRUK1,7,3.333%
