Season,Votes,Percentage
S1,9,7.087%
S2,4,3.15%
S3,0,0.0%
S4,4,3.15%
S5,0,0.0%
S6,3,2.362%
S7,11,8.661%
S8,8,6.299%
S9,2,1.575%
S10,9,7.087%
S12,2,1.575%
AS1,49,38.583%
AS2,0,0.0%
AS3,4,3.15%
AS4,3,2.362%
AS5,6,4.724%
DRT1,10,7.874%
DRT2,1,0.787%
DRUK1,2,1.575%
