Season,Votes,Percentage
S2,37,21.143%
S3,10,5.714%
S4,51,29.143%
S5,0,0.0%
S6,5,2.857%
S9,11,6.286%
S12,13,7.429%
AS2,2,1.143%
DRT2,37,21.143%
DRUK1,9,5.143%
