Season,Votes,Percentage
S2,9,7.965%
S3,3,2.655%
S4,13,11.504%
S5,0,0.0%
S6,3,2.655%
S8,16,14.159%
S9,3,2.655%
S10,9,7.965%
S12,0,0.0%
AS2,1,0.885%
AS3,28,24.779%
AS4,5,4.425%
DRT1,13,11.504%
DRT2,5,4.425%
DRUK1,5,4.425%
