Season,Votes,Percentage
S2,12,7.547%
S3,1,0.629%
S4,16,10.063%
S5,0,0.0%
S6,3,1.887%
S7,34,21.384%
S8,12,7.547%
S9,4,2.516%
S10,8,5.031%
S12,3,1.887%
AS2,3,1.887%
AS3,28,17.61%
AS4,7,4.403%
DRT1,17,10.692%
DRT2,4,2.516%
DRUK1,7,4.403%
