Season,Votes,Percentage
S1,10,6.536%
S2,2,1.307%
S3,1,0.654%
S4,3,1.961%
S5,1,0.654%
S6,2,1.307%
S7,10,6.536%
S8,3,1.961%
S9,2,1.307%
S10,8,5.229%
S11,43,28.105%
S12,1,0.654%
AS1,41,26.797%
AS2,3,1.961%
AS3,5,3.268%
AS4,1,0.654%
AS5,6,3.922%
DRT1,6,3.922%
DRT2,5,3.268%
DRUK1,0,0.0%
