Season,Votes,Percentage
S2,51,34.459%
S3,14,9.459%
S5,1,0.676%
S6,6,4.054%
S9,13,8.784%
S12,7,4.73%
AS2,4,2.703%
DRT2,37,25.0%
DRUK1,15,10.135%
