Season,Votes,Percentage
S2,14,10.526%
S3,7,5.263%
S4,17,12.782%
S5,2,1.504%
S6,5,3.759%
S8,31,23.308%
S9,6,4.511%
S12,5,3.759%
AS2,2,1.504%
AS4,14,10.526%
DRT2,27,20.301%
DRUK1,3,2.256%
