Timestamp,Vote for your least favorite season!
8/6/2020 15:20:38,Thailand Season 1
8/6/2020 15:20:39,Season 10
8/6/2020 15:20:46,UK Season 1
8/6/2020 15:20:57,All Stars 4
8/6/2020 15:23:13,All Stars 3
8/6/2020 15:24:04,All Stars 3
8/6/2020 15:29:52,Season 4
8/6/2020 15:31:08,Season 8
8/6/2020 15:31:14,Season 8
8/6/2020 15:32:02,Thailand Season 2
8/6/2020 15:33:32,All Stars 3
8/6/2020 15:34:11,Thailand Season 2
8/6/2020 15:34:29,All Stars 4
8/6/2020 15:34:58,Season 8
8/6/2020 15:35:17,Season 10
8/6/2020 15:35:36,Season 8
8/6/2020 15:36:37,All Stars 3
8/6/2020 15:37:40,All Stars 3
8/6/2020 15:37:42,All Stars 3
8/6/2020 15:39:27,Season 4
8/6/2020 15:39:32,Season 3
8/6/2020 15:41:20,All Stars 3
8/6/2020 15:42:37,Season 2
8/6/2020 15:43:40,All Stars 3
8/6/2020 15:44:19,Season 10
8/6/2020 15:45:00,All Stars 3
8/6/2020 15:47:24,All Stars 3
8/6/2020 15:49:26,All Stars 3
8/6/2020 15:51:41,Season 10
8/6/2020 15:52:08,Season 2
8/6/2020 15:52:45,All Stars 3
8/6/2020 15:52:46,Season 9
8/6/2020 15:53:38,Thailand Season 1
8/6/2020 15:57:53,Season 4
8/6/2020 15:59:55,Season 8
8/6/2020 16:03:45,Season 2
8/6/2020 16:03:58,All Stars 4
8/6/2020 16:05:51,Season 8
8/6/2020 16:07:53,Season 4
8/6/2020 16:10:18,UK Season 1
8/6/2020 16:20:21,Season 2
8/6/2020 16:21:10,Season 4
8/6/2020 16:26:58,All Stars 3
8/6/2020 16:28:16,Season 8
8/6/2020 16:28:35,All Stars 4
8/6/2020 16:31:12,All Stars 2
8/6/2020 16:32:33,All Stars 3
8/6/2020 16:34:21,Thailand Season 1
8/6/2020 16:35:06,Season 4
8/6/2020 16:37:56,Season 8
8/6/2020 16:50:45,Thailand Season 1
8/6/2020 16:51:38,Season 8
8/6/2020 16:54:45,Season 6
8/6/2020 16:57:06,Thailand Season 1
8/6/2020 16:57:13,Season 8
8/6/2020 17:00:15,All Stars 4
8/6/2020 17:00:29,Season 4
8/6/2020 17:06:16,Thailand Season 1
8/6/2020 17:09:52,Season 10
8/6/2020 17:24:33,Thailand Season 2
8/6/2020 17:25:10,Season 8
8/6/2020 17:31:08,UK Season 1
8/6/2020 17:31:10,Season 4
8/6/2020 17:31:48,All Stars 3
8/6/2020 17:37:49,All Stars 3
8/6/2020 17:37:59,Season 2
8/6/2020 17:41:33,Season 2
8/6/2020 17:46:21,Season 8
8/6/2020 17:48:32,Season 6
8/6/2020 17:53:07,Season 2
8/6/2020 18:00:10,All Stars 3
8/6/2020 18:01:17,All Stars 3
8/6/2020 18:02:24,Thailand Season 1
8/6/2020 18:07:29,Season 4
8/6/2020 18:18:04,Thailand Season 1
8/6/2020 18:19:50,Thailand Season 1
8/6/2020 18:26:44,Thailand Season 1
8/6/2020 18:39:07,Season 8
8/6/2020 18:45:20,Thailand Season 2
8/6/2020 18:55:33,Season 3
8/6/2020 19:16:35,Thailand Season 2
8/6/2020 19:22:21,All Stars 3
8/6/2020 19:24:30,Season 4
8/6/2020 19:37:03,Season 10
8/6/2020 19:39:35,All Stars 3
8/6/2020 19:49:17,Season 8
8/6/2020 20:03:27,Season 6
8/6/2020 20:03:28,Season 9
8/6/2020 20:15:16,Season 4
8/6/2020 20:17:40,All Stars 3
8/6/2020 20:19:58,Season 9
8/6/2020 20:25:25,UK Season 1
8/6/2020 20:50:12,All Stars 3
8/6/2020 21:17:46,Season 8
8/6/2020 22:04:59,UK Season 1
8/6/2020 22:34:49,Season 3
8/6/2020 22:40:21,Season 4
8/6/2020 22:45:55,Season 2
8/7/2020 0:38:50,All Stars 3
8/7/2020 0:51:02,All Stars 3
8/7/2020 3:16:59,Thailand Season 1
8/7/2020 4:28:06,All Stars 3
8/7/2020 6:26:52,Thailand Season 1
8/7/2020 6:53:11,Season 10
8/7/2020 6:55:37,Thailand Season 1
8/7/2020 7:07:30,All Stars 3
8/7/2020 7:36:28,Season 8
8/7/2020 8:52:24,Season 2
8/7/2020 9:19:01,All Stars 3
8/7/2020 9:34:02,Season 10
8/7/2020 10:39:39,Season 4
8/7/2020 12:15:54,All Stars 3
8/7/2020 12:23:10,Season 10
