Timestamp,Vote for your least favorite season!
8/3/2020 15:17:54,Season 1
8/3/2020 15:23:30,Season 7
8/3/2020 15:26:15,Thailand Season 1
8/3/2020 15:28:25,Thailand Season 2
8/3/2020 15:29:10,Season 9
8/3/2020 15:31:31,Season 2
8/3/2020 15:32:41,All Stars 5
8/3/2020 15:33:18,Season 2
8/3/2020 15:34:57,Season 1
8/3/2020 15:35:51,Season 12
8/3/2020 15:36:46,Season 12
8/3/2020 15:37:50,Season 4
8/3/2020 15:38:16,Season 7
8/3/2020 15:42:42,All Stars 3
8/3/2020 15:42:58,All Stars 5
8/3/2020 15:44:34,Season 1
8/3/2020 15:46:03,All Stars 5
8/3/2020 15:46:45,Thailand Season 1
8/3/2020 15:48:15,Thailand Season 1
8/3/2020 15:51:31,Season 2
8/3/2020 15:51:58,Season 1
8/3/2020 15:52:10,Season 7
8/3/2020 15:56:55,Season 4
8/3/2020 15:57:21,Thailand Season 1
8/3/2020 15:58:20,Season 1
8/3/2020 15:58:37,Season 10
8/3/2020 15:58:55,Season 7
8/3/2020 15:59:48,Season 1
8/3/2020 16:01:10,Season 2
8/3/2020 16:01:39,All Stars 5
8/3/2020 16:07:42,Season 8
8/3/2020 16:08:07,All Stars 2
8/3/2020 16:09:10,Season 1
8/3/2020 16:10:17,Season 8
8/3/2020 16:12:37,All Stars 5
8/3/2020 16:12:50,All Stars 5
8/3/2020 16:13:00,All Stars 3
8/3/2020 16:15:34,All Stars 3
8/3/2020 16:16:40,Season 8
8/3/2020 16:17:18,Season 8
8/3/2020 16:23:07,Season 12
8/3/2020 16:24:06,Thailand Season 2
8/3/2020 16:24:43,All Stars 3
8/3/2020 16:25:17,Season 8
8/3/2020 16:25:59,All Stars 3
8/3/2020 16:29:19,Season 1
8/3/2020 16:29:40,Season 7
8/3/2020 16:32:14,Season 7
8/3/2020 16:33:25,Season 10
8/3/2020 16:34:47,All Stars 4
8/3/2020 16:35:19,All Stars 4
8/3/2020 16:39:28,Season 1
8/3/2020 16:40:43,Season 4
8/3/2020 16:41:57,Season 10
8/3/2020 16:43:57,All Stars 5
8/3/2020 16:44:33,All Stars 3
8/3/2020 16:45:01,All Stars 5
8/3/2020 16:45:29,Season 8
8/3/2020 16:45:56,Season 7
8/3/2020 16:48:20,Season 7
8/3/2020 16:48:30,Season 4
8/3/2020 16:52:39,Season 7
8/3/2020 16:58:19,All Stars 4
8/3/2020 17:05:57,Season 1
8/3/2020 17:10:06,All Stars 3
8/3/2020 17:11:54,Season 2
8/3/2020 17:13:10,All Stars 4
8/3/2020 17:15:02,Thailand Season 1
8/3/2020 17:16:17,All Stars 4
8/3/2020 17:17:10,All Stars 3
8/3/2020 17:21:49,All Stars 5
8/3/2020 17:22:55,Thailand Season 1
8/3/2020 17:25:16,All Stars 3
8/3/2020 17:29:47,Season 6
8/3/2020 17:30:00,All Stars 5
8/3/2020 17:31:13,Season 7
8/3/2020 17:46:50,Season 7
8/3/2020 17:48:00,Season 1
8/3/2020 17:54:51,All Stars 4
8/3/2020 18:03:29,Season 10
8/3/2020 18:14:30,Thailand Season 1
8/3/2020 18:15:30,Season 1
8/3/2020 18:17:19,Thailand Season 2
8/3/2020 18:19:05,Season 7
8/3/2020 18:19:59,Season 4
8/3/2020 18:21:16,All Stars 3
8/3/2020 18:21:18,Season 1
8/3/2020 18:23:02,Season 7
8/3/2020 18:25:05,Season 1
8/3/2020 18:40:11,Season 10
8/3/2020 18:40:27,Season 7
8/3/2020 18:50:20,Season 4
8/3/2020 18:52:06,All Stars 2
8/3/2020 18:55:51,All Stars 3
8/3/2020 19:02:47,Season 1
8/3/2020 19:07:52,Season 12
8/3/2020 19:08:21,Season 8
8/3/2020 19:18:35,All Stars 3
8/3/2020 19:22:34,Season 4
8/3/2020 19:32:22,Thailand Season 1
8/3/2020 19:32:25,Season 7
8/3/2020 19:34:56,All Stars 5
8/3/2020 19:39:28,Season 7
8/3/2020 19:49:45,All Stars 5
8/3/2020 19:53:28,Season 8
8/3/2020 19:57:55,All Stars 3
8/3/2020 19:59:39,Season 1
8/3/2020 20:00:51,Season 3
8/3/2020 20:07:36,UK Season 1
8/3/2020 20:31:11,UK Season 1
8/3/2020 20:41:26,Season 1
8/3/2020 20:56:09,Season 4
8/3/2020 21:02:36,Season 7
8/3/2020 21:08:10,Season 1
8/3/2020 21:13:47,All Stars 3
8/3/2020 21:25:39,All Stars 5
8/3/2020 22:00:25,Season 6
8/3/2020 22:05:33,Season 1
8/3/2020 22:11:58,Thailand Season 1
8/3/2020 22:13:49,Thailand Season 1
8/3/2020 22:20:42,Season 7
8/3/2020 22:29:23,Season 12
8/3/2020 22:34:16,All Stars 4
8/3/2020 22:59:50,Season 8
8/3/2020 23:06:21,All Stars 5
8/3/2020 23:30:29,All Stars 4
8/3/2020 23:50:51,All Stars 5
8/4/2020 0:29:10,All Stars 5
8/4/2020 0:40:53,UK Season 1
8/4/2020 0:43:44,Season 8
8/4/2020 0:53:58,Season 8
8/4/2020 1:56:58,Season 2
8/4/2020 1:57:03,Season 1
8/4/2020 1:58:06,Season 7
8/4/2020 2:16:03,Season 1
8/4/2020 2:19:30,Season 12
8/4/2020 2:58:44,All Stars 3
8/4/2020 3:04:39,Thailand Season 1
8/4/2020 3:08:35,Season 3
8/4/2020 3:27:39,Season 1
8/4/2020 3:32:50,Season 7
8/4/2020 4:20:46,Season 1
8/4/2020 4:34:28,Season 1
8/4/2020 4:40:46,Season 9
8/4/2020 5:31:04,Season 1
8/4/2020 5:33:07,Season 12
8/4/2020 5:38:37,Season 10
8/4/2020 5:42:47,Season 2
8/4/2020 5:48:09,Season 10
8/4/2020 6:28:09,Season 1
8/4/2020 6:49:55,Season 9
8/4/2020 7:21:29,Season 4
8/4/2020 7:27:32,All Stars 2
8/4/2020 7:32:30,Season 8
8/4/2020 8:05:42,Season 1
8/4/2020 8:45:07,Thailand Season 2
8/4/2020 9:11:42,Season 1
8/4/2020 10:09:42,Season 1
8/4/2020 11:54:50,Season 7
8/4/2020 12:04:33,Season 7
8/4/2020 13:11:01,All Stars 3
8/4/2020 14:01:00,Season 7
8/4/2020 14:10:03,All Stars 3
8/4/2020 14:11:28,UK Season 1
8/4/2020 14:35:53,Season 1
8/4/2020 15:04:03,Thailand Season 2
