Timestamp,Vote for your least favorite season!
8/12/2020 15:02:01,Season 2
8/12/2020 15:03:00,Season 9
8/12/2020 15:03:04,Season 2
8/12/2020 15:04:18,Season 9
8/12/2020 15:05:58,Season 2
8/12/2020 15:07:42,Season 2
8/12/2020 15:08:45,Season 2
8/12/2020 15:10:50,UK Season 1
8/12/2020 15:13:42,Season 2
8/12/2020 15:14:17,UK Season 1
8/12/2020 15:16:42,Thailand Season 2
8/12/2020 15:17:39,Season 2
8/12/2020 15:18:16,Season 2
8/12/2020 15:21:08,Season 2
8/12/2020 15:21:44,All Stars 2
8/12/2020 15:24:38,Season 3
8/12/2020 15:24:49,Season 9
8/12/2020 15:25:13,Season 9
8/12/2020 15:29:47,Season 2
8/12/2020 15:31:55,UK Season 1
8/12/2020 15:34:23,Season 12
8/12/2020 15:34:25,Season 3
8/12/2020 15:34:32,Season 2
8/12/2020 15:37:13,UK Season 1
8/12/2020 15:38:31,Thailand Season 2
8/12/2020 15:38:51,Thailand Season 2
8/12/2020 15:39:13,Thailand Season 2
8/12/2020 15:39:21,Season 2
8/12/2020 15:40:13,Season 2
8/12/2020 15:46:02,UK Season 1
8/12/2020 15:53:37,Season 2
8/12/2020 15:55:31,Season 9
8/12/2020 15:55:46,Season 6
8/12/2020 15:57:13,Season 2
8/12/2020 15:59:02,UK Season 1
8/12/2020 15:59:11,Season 3
8/12/2020 15:59:33,Season 12
8/12/2020 15:59:45,Season 2
8/12/2020 16:00:46,Season 12
8/12/2020 16:01:54,Thailand Season 2
8/12/2020 16:05:59,Thailand Season 2
8/12/2020 16:07:04,Season 3
8/12/2020 16:08:58,UK Season 1
8/12/2020 16:10:48,Season 2
8/12/2020 16:11:27,Thailand Season 2
8/12/2020 16:13:04,Season 2
8/12/2020 16:14:34,Season 2
8/12/2020 16:20:05,Season 2
8/12/2020 16:20:31,Season 2
8/12/2020 16:25:01,UK Season 1
8/12/2020 16:26:25,Season 9
8/12/2020 16:27:38,Season 2
8/12/2020 16:28:04,Season 6
8/12/2020 16:31:40,Season 9
8/12/2020 16:32:04,Thailand Season 2
8/12/2020 16:34:00,Thailand Season 2
8/12/2020 16:36:04,Thailand Season 2
8/12/2020 16:38:14,Thailand Season 2
8/12/2020 16:38:34,Season 2
8/12/2020 16:44:12,Season 2
8/12/2020 16:45:09,Thailand Season 2
8/12/2020 16:49:15,Season 3
8/12/2020 16:52:21,Season 2
8/12/2020 16:54:21,Thailand Season 2
8/12/2020 16:56:19,Thailand Season 2
8/12/2020 17:04:15,Season 3
8/12/2020 17:10:22,Thailand Season 2
8/12/2020 17:10:29,All Stars 2
8/12/2020 17:19:37,Season 2
8/12/2020 17:24:14,Season 12
8/12/2020 17:26:37,Season 9
