Timestamp,Vote for your least favorite season!
8/11/2020 15:40:15,Season 4
8/11/2020 15:40:27,Thailand Season 2
8/11/2020 15:40:31,Season 12
8/11/2020 15:40:33,Thailand Season 2
8/11/2020 15:41:11,Season 4
8/11/2020 15:41:54,Season 3
8/11/2020 15:42:13,Season 4
8/11/2020 15:42:46,Thailand Season 2
8/11/2020 15:43:18,UK Season 1
8/11/2020 15:49:00,Season 4
8/11/2020 15:49:46,Thailand Season 2
8/11/2020 15:50:25,Season 12
8/11/2020 15:51:13,Thailand Season 2
8/11/2020 15:51:41,All Stars 2
8/11/2020 15:55:41,Season 4
8/11/2020 15:56:19,Season 12
8/11/2020 15:58:58,Thailand Season 2
8/11/2020 16:01:10,Season 3
8/11/2020 16:01:24,Thailand Season 2
8/11/2020 16:01:56,Season 12
8/11/2020 16:01:57,Thailand Season 2
8/11/2020 16:01:59,Season 2
8/11/2020 16:03:17,Season 3
8/11/2020 16:04:30,Thailand Season 2
8/11/2020 16:05:21,Season 2
8/11/2020 16:05:39,Season 2
8/11/2020 16:07:07,Season 2
8/11/2020 16:07:20,Thailand Season 2
8/11/2020 16:07:33,Thailand Season 2
8/11/2020 16:09:44,Thailand Season 2
8/11/2020 16:10:26,Season 4
8/11/2020 16:13:39,Season 4
8/11/2020 16:13:49,Season 4
8/11/2020 16:14:54,Season 2
8/11/2020 16:17:03,Season 12
8/11/2020 16:17:11,Season 4
8/11/2020 16:17:58,Season 2
8/11/2020 16:18:20,Season 3
8/11/2020 16:18:22,Season 4
8/11/2020 16:19:17,Thailand Season 2
8/11/2020 16:20:33,Season 2
8/11/2020 16:21:47,Season 4
8/11/2020 16:22:09,Season 4
8/11/2020 16:23:37,Season 4
8/11/2020 16:25:27,Season 2
8/11/2020 16:30:29,Season 4
8/11/2020 16:31:45,Thailand Season 2
8/11/2020 16:34:04,UK Season 1
8/11/2020 16:34:49,Season 9
8/11/2020 16:35:15,Season 9
8/11/2020 16:36:42,Season 4
8/11/2020 16:42:39,Season 2
8/11/2020 16:44:40,Season 4
8/11/2020 16:45:36,Thailand Season 2
8/11/2020 16:45:53,Season 4
8/11/2020 16:47:16,Thailand Season 2
8/11/2020 16:47:21,Season 9
8/11/2020 16:49:54,Thailand Season 2
8/11/2020 16:50:47,UK Season 1
8/11/2020 16:50:57,Season 2
8/11/2020 16:53:27,Season 3
8/11/2020 17:00:44,Season 9
8/11/2020 17:04:41,Season 6
8/11/2020 17:07:27,Season 9
8/11/2020 17:09:07,Season 2
8/11/2020 17:10:36,Season 12
8/11/2020 17:12:47,Season 4
8/11/2020 17:22:17,Season 3
8/11/2020 17:23:43,UK Season 1
8/11/2020 17:28:43,Season 4
8/11/2020 17:31:05,Thailand Season 2
8/11/2020 17:32:20,Season 2
8/11/2020 17:45:02,Season 4
8/11/2020 17:46:00,Thailand Season 2
8/11/2020 17:46:14,Season 4
8/11/2020 17:48:03,UK Season 1
8/11/2020 17:48:20,Thailand Season 2
8/11/2020 17:48:32,Thailand Season 2
8/11/2020 17:53:48,Season 9
8/11/2020 17:54:42,Season 4
8/11/2020 18:07:59,Thailand Season 2
8/11/2020 18:21:02,Season 2
8/11/2020 18:21:44,Season 4
8/11/2020 18:26:35,UK Season 1
8/11/2020 18:29:04,Season 2
8/11/2020 18:31:52,Season 9
8/11/2020 18:34:19,Season 2
8/11/2020 18:36:25,Thailand Season 2
8/11/2020 18:36:35,Season 4
8/11/2020 18:40:55,Season 4
8/11/2020 18:49:42,Season 4
8/11/2020 18:51:04,Season 4
8/11/2020 18:51:26,Thailand Season 2
8/11/2020 18:53:32,Season 2
8/11/2020 19:07:42,Season 4
8/11/2020 19:10:30,Season 3
8/11/2020 19:14:01,Season 4
8/11/2020 19:46:39,Season 4
8/11/2020 19:49:25,Thailand Season 2
8/11/2020 19:49:29,Season 4
8/11/2020 20:01:58,Season 2
8/11/2020 20:10:03,Season 4
8/11/2020 20:15:53,Thailand Season 2
8/11/2020 20:19:56,Season 2
8/11/2020 20:21:29,Season 4
8/11/2020 20:24:29,Season 4
8/11/2020 20:26:07,Season 2
8/11/2020 20:30:55,Season 12
8/11/2020 20:34:01,Season 12
8/11/2020 20:44:37,Season 3
8/11/2020 20:49:41,Season 4
8/11/2020 21:05:03,Season 9
8/11/2020 21:08:01,Season 6
8/11/2020 21:09:38,UK Season 1
8/11/2020 21:22:05,Season 2
8/11/2020 21:37:33,Season 4
8/11/2020 21:50:26,Season 2
8/11/2020 21:52:03,Season 2
8/11/2020 21:59:50,Season 12
8/11/2020 22:28:39,Season 2
8/11/2020 22:40:00,Season 2
8/11/2020 22:51:42,Season 4
8/11/2020 23:04:43,Season 2
8/11/2020 23:46:22,UK Season 1
8/11/2020 23:46:34,Season 12
8/11/2020 23:46:58,Season 6
8/12/2020 0:10:47,Season 4
8/12/2020 0:58:44,Season 4
8/12/2020 1:03:04,Thailand Season 2
8/12/2020 1:31:18,Season 2
8/12/2020 1:54:47,Season 4
8/12/2020 2:06:01,Season 2
8/12/2020 2:24:44,Season 2
8/12/2020 2:29:43,Season 9
8/12/2020 2:39:51,Thailand Season 2
8/12/2020 2:50:30,Thailand Season 2
8/12/2020 3:01:55,Thailand Season 2
8/12/2020 3:06:33,Season 2
8/12/2020 3:19:29,Season 4
8/12/2020 3:29:12,Season 4
8/12/2020 3:42:22,Season 2
8/12/2020 3:48:25,Season 2
8/12/2020 4:09:02,Season 2
8/12/2020 4:18:17,Season 12
8/12/2020 4:42:23,Season 3
8/12/2020 4:50:14,Season 2
8/12/2020 4:57:33,Season 2
8/12/2020 5:42:12,Season 4
8/12/2020 5:48:23,Season 2
8/12/2020 5:49:22,Season 4
8/12/2020 6:22:06,Season 9
8/12/2020 7:14:15,Thailand Season 2
8/12/2020 7:26:30,Season 4
8/12/2020 8:09:17,Season 12
8/12/2020 8:19:09,Season 4
8/12/2020 8:23:59,Thailand Season 2
8/12/2020 9:06:54,Season 2
8/12/2020 9:59:02,Thailand Season 2
8/12/2020 10:19:58,Thailand Season 2
8/12/2020 10:21:22,Thailand Season 2
8/12/2020 10:22:49,UK Season 1
8/12/2020 10:43:21,Season 4
8/12/2020 10:48:26,Season 4
8/12/2020 10:54:12,Season 9
8/12/2020 10:58:29,Season 6
8/12/2020 11:22:51,Season 12
8/12/2020 11:38:32,Season 4
8/12/2020 11:47:51,All Stars 2
8/12/2020 12:09:39,Thailand Season 2
8/12/2020 12:28:43,Season 2
8/12/2020 12:29:25,Season 3
8/12/2020 13:29:10,Season 6
8/12/2020 13:34:32,Thailand Season 2
8/12/2020 13:50:19,Season 4
8/12/2020 13:50:20,Season 4
