Timestamp,Vote for your least favorite season!
8/5/2020 15:01:02,All Stars 2
8/5/2020 15:01:36,Season 8
8/5/2020 15:02:13,Season 7
8/5/2020 15:03:00,UK Season 1
8/5/2020 15:03:18,Season 6
8/5/2020 15:04:17,Season 4
8/5/2020 15:05:27,All Stars 3
8/5/2020 15:12:44,Season 9
8/5/2020 15:14:56,Season 6
8/5/2020 15:15:03,Season 7
8/5/2020 15:21:47,Season 8
8/5/2020 15:22:04,Season 9
8/5/2020 15:22:10,Thailand Season 1
8/5/2020 15:22:40,Season 7
8/5/2020 15:24:03,Season 8
8/5/2020 15:24:50,Season 4
8/5/2020 15:25:46,Thailand Season 1
8/5/2020 15:26:55,All Stars 3
8/5/2020 15:28:30,Season 7
8/5/2020 15:29:41,All Stars 3
8/5/2020 15:32:49,Season 7
8/5/2020 15:34:22,Season 7
8/5/2020 15:35:53,Season 2
8/5/2020 15:35:58,All Stars 3
8/5/2020 15:36:34,Season 7
8/5/2020 15:36:41,Thailand Season 2
8/5/2020 15:39:18,Season 7
8/5/2020 15:41:02,Season 7
8/5/2020 15:41:47,All Stars 3
8/5/2020 15:44:25,UK Season 1
8/5/2020 15:45:47,Season 10
8/5/2020 15:48:00,UK Season 1
8/5/2020 15:50:13,All Stars 3
8/5/2020 15:50:20,All Stars 3
8/5/2020 15:50:45,All Stars 4
8/5/2020 15:51:40,Season 2
8/5/2020 15:55:42,All Stars 3
8/5/2020 15:56:43,Thailand Season 1
8/5/2020 15:59:27,Season 4
8/5/2020 16:00:25,All Stars 3
8/5/2020 16:01:30,Season 4
8/5/2020 16:02:20,Season 8
8/5/2020 16:02:26,Season 7
8/5/2020 16:04:41,All Stars 4
8/5/2020 16:06:35,All Stars 3
8/5/2020 16:11:03,Thailand Season 1
8/5/2020 16:15:19,All Stars 3
8/5/2020 16:15:31,Season 7
8/5/2020 16:17:15,Thailand Season 2
8/5/2020 16:28:59,Thailand Season 1
8/5/2020 16:29:06,Season 3
8/5/2020 16:29:33,All Stars 3
8/5/2020 16:31:45,All Stars 3
8/5/2020 16:34:38,Season 7
8/5/2020 16:37:04,Thailand Season 1
8/5/2020 16:37:47,Thailand Season 1
8/5/2020 16:38:08,Season 7
8/5/2020 16:42:48,Season 2
8/5/2020 16:51:55,Season 4
8/5/2020 16:55:02,Season 2
8/5/2020 16:58:22,All Stars 3
8/5/2020 17:04:16,Season 10
8/5/2020 17:05:16,Thailand Season 1
8/5/2020 17:12:31,Season 2
8/5/2020 17:14:03,All Stars 3
8/5/2020 17:14:18,All Stars 3
8/5/2020 17:14:51,UK Season 1
8/5/2020 17:22:19,Season 4
8/5/2020 17:30:43,Season 10
8/5/2020 17:30:43,All Stars 3
8/5/2020 17:30:52,All Stars 3
8/5/2020 17:31:01,Season 8
8/5/2020 17:44:02,Thailand Season 1
8/5/2020 17:44:12,Thailand Season 1
8/5/2020 17:50:20,UK Season 1
8/5/2020 17:51:48,Season 10
8/5/2020 17:55:32,All Stars 3
8/5/2020 18:01:25,Season 8
8/5/2020 18:09:23,Season 2
8/5/2020 18:12:37,Season 7
8/5/2020 18:15:10,Season 10
8/5/2020 18:16:20,Season 7
8/5/2020 18:18:00,Season 12
8/5/2020 18:19:33,Season 7
8/5/2020 18:24:51,All Stars 4
8/5/2020 18:25:49,Season 4
8/5/2020 18:26:03,Season 10
8/5/2020 18:29:32,All Stars 2
8/5/2020 18:33:49,Season 7
8/5/2020 18:46:09,Season 7
8/5/2020 18:59:58,Season 8
8/5/2020 19:07:07,Season 7
8/5/2020 19:12:28,Thailand Season 1
8/5/2020 19:46:08,Season 8
8/5/2020 19:48:45,All Stars 4
8/5/2020 19:56:54,Season 4
8/5/2020 19:57:24,Season 8
8/5/2020 19:57:31,Thailand Season 1
8/5/2020 20:04:40,Season 8
8/5/2020 20:05:13,Thailand Season 1
8/5/2020 20:08:45,All Stars 3
8/5/2020 20:24:01,Season 9
8/5/2020 20:24:08,All Stars 4
8/5/2020 20:25:26,Season 12
8/5/2020 20:30:26,Season 4
8/5/2020 21:14:55,Season 4
8/5/2020 21:20:47,All Stars 3
8/5/2020 21:27:55,Season 4
8/5/2020 21:43:10,Thailand Season 1
8/5/2020 21:45:35,Season 4
8/5/2020 21:56:28,Season 2
8/5/2020 22:41:44,All Stars 3
8/5/2020 22:58:26,All Stars 3
8/5/2020 23:01:45,Season 7
8/5/2020 23:02:56,Season 10
8/5/2020 23:22:09,Season 2
8/5/2020 23:34:38,Season 8
8/5/2020 23:40:35,Season 7
8/5/2020 23:42:50,Season 7
8/5/2020 23:44:11,Season 2
8/5/2020 23:47:41,Season 12
8/5/2020 23:51:13,Season 7
8/6/2020 0:14:14,Thailand Season 1
8/6/2020 0:15:01,Thailand Season 2
8/6/2020 0:16:37,Season 4
8/6/2020 0:21:17,Season 4
8/6/2020 0:52:51,All Stars 3
8/6/2020 0:59:06,Season 9
8/6/2020 1:09:30,Season 7
8/6/2020 1:19:29,Season 4
8/6/2020 1:52:39,Season 7
8/6/2020 2:05:05,All Stars 3
8/6/2020 2:16:01,Season 8
8/6/2020 2:44:22,Season 2
8/6/2020 3:28:05,All Stars 2
8/6/2020 4:06:33,Season 7
8/6/2020 4:11:21,All Stars 3
8/6/2020 4:30:07,Season 7
8/6/2020 4:43:01,All Stars 3
8/6/2020 4:45:42,Season 6
8/6/2020 5:14:57,Thailand Season 1
8/6/2020 5:19:43,Thailand Season 2
8/6/2020 6:08:45,Season 7
8/6/2020 6:27:42,Season 7
8/6/2020 6:39:31,Season 4
