Timestamp,Vote for your least favorite season!
8/7/2020 15:04:54,Season 6
8/7/2020 15:05:51,All Stars 4
8/7/2020 15:06:36,Thailand Season 1
8/7/2020 15:06:44,Season 10
8/7/2020 15:08:01,Thailand Season 2
8/7/2020 15:08:08,Season 10
8/7/2020 15:08:35,Season 6
8/7/2020 15:09:46,Season 5
8/7/2020 15:11:01,Thailand Season 1
8/7/2020 15:11:49,Season 8
8/7/2020 15:12:40,Thailand Season 2
8/7/2020 15:15:55,Thailand Season 1
8/7/2020 15:17:34,Season 10
8/7/2020 15:19:24,Season 6
8/7/2020 15:19:50,Thailand Season 1
8/7/2020 15:22:59,Season 8
8/7/2020 15:24:58,Season 4
8/7/2020 15:31:13,Thailand Season 1
8/7/2020 15:37:04,All Stars 4
8/7/2020 15:38:50,Season 4
8/7/2020 15:39:59,Season 2
8/7/2020 15:41:07,Season 6
8/7/2020 15:41:36,Season 8
8/7/2020 15:42:24,Season 8
8/7/2020 15:44:57,Season 10
8/7/2020 15:48:11,Season 2
8/7/2020 15:53:41,Season 8
8/7/2020 15:55:41,Thailand Season 1
8/7/2020 16:03:53,Thailand Season 2
8/7/2020 16:04:09,Thailand Season 1
8/7/2020 16:06:23,Season 8
8/7/2020 16:08:11,Season 8
8/7/2020 16:08:48,Season 2
8/7/2020 16:10:14,Season 9
8/7/2020 16:12:04,Season 10
8/7/2020 16:21:19,Season 10
8/7/2020 16:22:47,Thailand Season 2
8/7/2020 16:27:55,Season 3
8/7/2020 16:36:01,Thailand Season 1
8/7/2020 16:38:39,Season 12
8/7/2020 16:39:26,Season 10
8/7/2020 16:40:16,Season 2
8/7/2020 16:44:17,Season 2
8/7/2020 16:45:41,Season 4
8/7/2020 16:47:14,Season 2
8/7/2020 16:47:29,Season 4
8/7/2020 16:51:41,All Stars 4
8/7/2020 16:58:56,UK Season 1
8/7/2020 17:01:07,Season 10
8/7/2020 17:17:49,Season 10
8/7/2020 17:19:25,Season 10
8/7/2020 17:22:55,Season 10
8/7/2020 17:29:18,Season 8
8/7/2020 17:45:51,Thailand Season 1
8/7/2020 18:13:58,Season 4
8/7/2020 18:14:09,All Stars 4
8/7/2020 18:20:31,Season 8
8/7/2020 18:22:50,Season 9
8/7/2020 18:24:17,Season 10
8/7/2020 18:28:04,Season 8
8/7/2020 18:28:17,Season 10
8/7/2020 18:38:47,Thailand Season 2
8/7/2020 18:40:31,Season 10
8/7/2020 18:56:37,Season 2
8/7/2020 19:17:30,Season 4
8/7/2020 19:44:38,Thailand Season 1
8/7/2020 19:50:35,Season 2
8/7/2020 19:51:52,All Stars 4
8/7/2020 19:52:26,Season 12
8/7/2020 19:54:50,All Stars 4
8/7/2020 19:56:20,Thailand Season 1
8/7/2020 20:01:55,Thailand Season 2
8/7/2020 20:02:43,Season 8
8/7/2020 20:13:06,Season 3
8/7/2020 20:26:27,Season 2
8/7/2020 20:28:00,Season 3
8/7/2020 20:31:45,Thailand Season 1
8/7/2020 20:47:00,All Stars 4
8/7/2020 20:55:17,Season 2
8/7/2020 21:31:54,Season 10
8/7/2020 21:45:21,UK Season 1
8/7/2020 22:15:33,Season 8
8/7/2020 22:17:08,Season 4
8/7/2020 22:26:22,All Stars 4
8/7/2020 22:28:00,All Stars 4
8/7/2020 22:28:04,Thailand Season 1
8/7/2020 22:28:34,Season 4
8/7/2020 22:29:27,Season 12
8/7/2020 22:41:49,Season 3
8/7/2020 23:06:18,Season 8
8/7/2020 23:23:03,Season 9
8/7/2020 23:39:54,All Stars 4
8/7/2020 23:40:01,Season 10
8/7/2020 23:44:05,All Stars 4
8/8/2020 0:33:30,Thailand Season 1
8/8/2020 0:43:17,Season 8
8/8/2020 0:45:55,Season 4
8/8/2020 0:58:47,Thailand Season 1
8/8/2020 2:04:00,Season 8
8/8/2020 2:36:07,All Stars 4
8/8/2020 3:03:14,Season 9
8/8/2020 3:10:14,Season 4
8/8/2020 3:55:57,All Stars 4
8/8/2020 4:07:57,Season 8
8/8/2020 5:07:34,All Stars 4
8/8/2020 5:27:58,Season 10
8/8/2020 5:30:36,Season 8
8/8/2020 5:45:19,Season 4
8/8/2020 5:51:46,Season 10
8/8/2020 6:05:01,Thailand Season 1
8/8/2020 6:36:00,Season 3
8/8/2020 8:45:40,Season 10
8/8/2020 9:39:52,Season 9
8/8/2020 10:26:31,Thailand Season 1
8/8/2020 11:28:21,Season 8
8/8/2020 12:31:03,Season 4
8/8/2020 12:49:01,Thailand Season 1
8/8/2020 13:33:56,Thailand Season 2
8/8/2020 16:20:00,Season 8
8/8/2020 16:50:49,Thailand Season 2
8/8/2020 16:57:24,Season 10
