Timestamp,Vote for your least favorite season!
8/16/2020 15:48:45,UK Season 1
8/16/2020 15:49:04,Season 6
8/16/2020 15:49:15,UK Season 1
8/16/2020 15:50:24,Season 12
8/16/2020 15:51:17,Season 12
8/16/2020 15:51:55,UK Season 1
8/16/2020 15:52:26,UK Season 1
8/16/2020 15:52:44,UK Season 1
8/16/2020 15:52:46,Season 6
8/16/2020 15:53:34,Season 5
8/16/2020 15:53:37,UK Season 1
8/16/2020 15:54:21,Season 5
8/16/2020 15:55:09,UK Season 1
8/16/2020 15:55:17,UK Season 1
8/16/2020 15:55:27,Season 12
8/16/2020 15:55:47,UK Season 1
8/16/2020 15:56:40,Season 5
8/16/2020 15:58:47,UK Season 1
8/16/2020 15:58:54,UK Season 1
8/16/2020 15:58:55,UK Season 1
8/16/2020 16:00:51,Season 5
8/16/2020 16:01:45,Season 5
8/16/2020 16:02:47,UK Season 1
8/16/2020 16:03:41,Season 5
8/16/2020 16:06:12,Season 6
8/16/2020 16:09:22,Season 5
8/16/2020 16:10:27,UK Season 1
8/16/2020 16:10:48,UK Season 1
8/16/2020 16:11:09,Season 12
8/16/2020 16:12:19,Season 5
8/16/2020 16:12:28,UK Season 1
8/16/2020 16:15:18,Season 5
8/16/2020 16:15:46,Season 12
8/16/2020 16:16:08,Season 5
8/16/2020 16:20:58,Season 12
8/16/2020 16:24:27,UK Season 1
8/16/2020 16:26:47,UK Season 1
8/16/2020 16:27:19,UK Season 1
8/16/2020 16:27:35,Season 12
8/16/2020 16:28:54,Season 12
8/16/2020 16:33:46,UK Season 1
8/16/2020 16:34:31,UK Season 1
8/16/2020 16:36:30,Season 12
8/16/2020 16:40:28,UK Season 1
8/16/2020 16:41:57,Season 6
8/16/2020 16:44:05,UK Season 1
8/16/2020 16:47:51,UK Season 1
8/16/2020 16:50:30,UK Season 1
8/16/2020 16:53:43,Season 5
8/16/2020 16:54:44,Season 12
8/16/2020 16:55:12,Season 6
8/16/2020 16:55:38,UK Season 1
8/16/2020 16:56:31,Season 12
8/16/2020 16:56:56,All Stars 2
8/16/2020 16:57:31,Season 12
8/16/2020 16:58:05,Season 6
8/16/2020 16:59:39,Season 5
8/16/2020 17:00:00,UK Season 1
8/16/2020 17:02:16,Season 5
8/16/2020 17:05:00,Season 5
8/16/2020 17:05:07,Season 12
8/16/2020 17:07:20,UK Season 1
8/16/2020 17:07:37,Season 12
8/16/2020 17:08:39,UK Season 1
8/16/2020 17:11:32,UK Season 1
8/16/2020 17:14:35,Season 12
8/16/2020 17:15:54,UK Season 1
8/16/2020 17:18:48,Season 6
8/16/2020 17:21:45,Season 5
8/16/2020 17:24:09,UK Season 1
8/16/2020 17:24:28,Season 12
8/16/2020 17:30:57,UK Season 1
8/16/2020 17:32:16,UK Season 1
8/16/2020 17:32:36,Season 5
8/16/2020 17:34:22,UK Season 1
8/16/2020 17:36:33,All Stars 2
8/16/2020 17:38:13,Season 12
8/16/2020 17:40:31,Season 6
8/16/2020 17:41:41,Season 12
8/16/2020 17:42:46,Season 6
8/16/2020 17:44:22,Season 12
8/16/2020 17:44:51,Season 6
8/16/2020 17:45:30,Season 12
8/16/2020 17:50:48,UK Season 1
8/16/2020 17:51:10,Season 5
8/16/2020 17:52:10,Season 6
8/16/2020 17:55:39,Season 12
8/16/2020 18:00:11,Season 6
8/16/2020 18:01:59,UK Season 1
8/16/2020 18:03:18,Season 6
8/16/2020 18:13:13,Season 5
8/16/2020 18:14:46,Season 5
8/16/2020 18:16:28,Season 5
8/16/2020 18:19:12,Season 6
8/16/2020 18:22:32,Season 12
8/16/2020 18:23:12,Season 6
8/16/2020 18:29:23,UK Season 1
8/16/2020 18:29:46,Season 12
8/16/2020 18:29:51,Season 5
8/16/2020 18:30:59,UK Season 1
8/16/2020 18:33:39,UK Season 1
8/16/2020 18:36:48,Season 5
8/16/2020 18:51:20,Season 12
8/16/2020 18:57:43,Season 5
8/16/2020 18:58:09,UK Season 1
8/16/2020 19:07:09,UK Season 1
8/16/2020 19:12:40,Season 12
8/16/2020 19:14:32,Season 6
8/16/2020 19:18:10,Season 6
8/16/2020 19:28:46,UK Season 1
8/16/2020 19:37:32,UK Season 1
8/16/2020 19:42:10,Season 12
8/16/2020 19:45:53,UK Season 1
8/16/2020 19:59:52,UK Season 1
8/16/2020 20:01:26,UK Season 1
8/16/2020 20:02:40,UK Season 1
8/16/2020 20:05:24,UK Season 1
8/16/2020 20:23:42,Season 6
8/16/2020 20:25:52,Season 6
8/16/2020 21:02:10,Season 5
8/16/2020 21:04:07,Season 6
8/16/2020 22:14:50,Season 12
8/16/2020 22:28:21,Season 12
8/16/2020 22:30:27,UK Season 1
8/16/2020 22:44:30,UK Season 1
8/16/2020 22:51:11,All Stars 2
8/16/2020 22:54:28,Season 12
8/16/2020 22:58:47,UK Season 1
8/16/2020 23:04:53,UK Season 1
8/16/2020 23:05:56,Season 6
8/16/2020 23:44:12,UK Season 1
8/16/2020 23:46:51,UK Season 1
8/16/2020 23:56:26,Season 5
8/16/2020 23:58:18,Season 5
8/17/2020 0:10:04,UK Season 1
8/17/2020 0:22:18,Season 12
8/17/2020 0:46:00,UK Season 1
8/17/2020 0:56:58,Season 6
8/17/2020 1:04:41,UK Season 1
8/17/2020 1:36:43,All Stars 2
8/17/2020 2:04:20,UK Season 1
8/17/2020 2:36:27,Season 6
8/17/2020 2:36:45,UK Season 1
8/17/2020 2:57:40,All Stars 2
8/17/2020 3:28:52,Season 12
8/17/2020 3:34:45,UK Season 1
8/17/2020 3:50:41,Season 12
8/17/2020 4:19:14,Season 12
8/17/2020 5:33:18,Season 12
8/17/2020 5:34:40,Season 6
8/17/2020 5:40:56,UK Season 1
8/17/2020 6:02:18,Season 12
8/17/2020 6:25:46,Season 12
8/17/2020 6:33:07,Season 6
8/17/2020 6:39:44,Season 12
8/17/2020 7:29:50,Season 6
8/17/2020 7:45:14,UK Season 1
8/17/2020 7:58:04,UK Season 1
8/17/2020 8:36:51,Season 6
8/17/2020 8:53:20,Season 12
8/17/2020 9:49:44,UK Season 1
8/17/2020 10:12:12,UK Season 1
8/17/2020 10:31:09,Season 5
8/17/2020 10:48:52,Season 12
8/17/2020 10:51:39,Season 12
8/17/2020 11:09:55,Season 5
8/17/2020 11:21:09,Season 6
8/17/2020 11:24:16,Season 5
8/17/2020 11:59:21,UK Season 1
8/17/2020 12:14:24,UK Season 1
8/17/2020 12:33:33,Season 12
8/17/2020 12:53:57,UK Season 1
8/17/2020 13:40:28,UK Season 1
8/17/2020 14:03:39,UK Season 1
8/17/2020 14:16:36,All Stars 2
8/17/2020 15:01:29,Season 5
8/17/2020 15:39:02,UK Season 1
